Date,LP_european_brent,LP_romania_base,LP_bulgaria_base,LP_czechia_base,LP_dutch_base,LP_austria_base,LP_poland_base,LP_greece_base,LP_swiss_base,LP_belgium_base,LP_dutch_gas,LP_german_energy,LP_brit_gas,LP_french_base,LP_uk_base,LP_spain_base,LP_hungary_base,LP_german_gas
2021-07-01,,,,,,,,,,,,,,,,,,
2021-07-02,0.003964583058015059,-0.015083690151810103,-0.01515598858380085,-0.003821377879681287,0.0036003600360037247,-0.009733436566751408,0.0001196029183112568,-0.000909182745731818,0.004239230064161381,0.0006039376736319824,-0.009259515188368983,-0.010555619997680066,0.0,-0.006472124446462946,0.0013202772582243671,0.012807881773398977,-0.014456194819054913,-0.009142383648667152
2021-07-05,0.015005923390812193,-0.01818002173698241,-0.01109223543519533,0.026961858833844943,0.013565022421524686,0.024237685691946842,0.003228892609423495,-0.005965621840242741,0.0237307472903594,-0.0006035731530661392,0.05975895547371923,0.03352872215709257,0.0,0.025142857142857133,0.026700362597516625,0.02021184608733262,-0.003839338452451324,0.056559067848581
2021-07-06,-0.02853067047075608,-0.018818556908523743,-0.02405012126111561,-0.03863393810032023,-0.021347196106625277,-0.042420937840785156,0.0023840743831207156,0.0026446953514391858,-0.013930680931683925,0.006160164271047153,-0.09808876954667511,-0.0946007259528131,0.23741007194244612,-0.040468227424749315,-0.08647260273972601,-0.016527174488823015,-0.02549659057219089,-0.09635121230509458
2021-07-07,-0.019890535309037394,-0.007282051282051172,-0.008283288465520733,-0.005772646536412074,-0.015822784810126667,0.013324222753672732,0.003448685931739748,0.0020290149132595747,-0.030515370705244127,0.0046818727490995915,-0.053677758318739,-0.0018792282635929913,0.0,-0.011502265597769235,-0.026593252108715992,-0.0014004093504255133,-0.010039549741405529,-0.05903477270736612
2021-07-08,0.012122037591936863,-0.049075317698109355,-0.04813113384840262,-0.01753014738722647,-0.022737712448323455,-0.03472690492245456,0.0010666034605357755,0.00030373595221222516,-0.013406388435532879,0.0032261918986735694,0.026125042410783283,0.019957323961340645,-0.04069767441860461,-0.0170427832628115,0.016728848236851723,-0.011434735706580379,-0.04906781397254667,0.0268391821030749
2021-07-09,0.017225137935674928,0.022272924815297745,0.0259953932214545,0.03568587339470386,0.02585193889541726,0.036907672604494124,-0.0016573931573339307,-0.004352226720647723,0.019732955216826165,-0.00035731300619323836,0.10466514368161595,0.05845434408072858,0.0,0.041731436087528495,0.07481060606060597,-0.0007638585770406436,0.026715501454271262,0.10669607783888324
2021-07-12,-0.005159412620717063,-0.01700499521734522,-0.02223647637374393,-0.01876440250192024,-0.013631156930125954,-0.023130473837862153,-0.0016601446697498412,-0.003557995323777652,-0.007531865585167941,0.007387108304539369,-0.056108843537414854,-0.044529705848157186,0.0,-0.019972451790633672,-0.05176211453744495,0.009610134323468467,-0.019620186758997016,-0.05840273037542665
2021-07-13,0.01675531914893602,-0.008217104551843324,-0.010059042204242141,-0.012189666741221239,-0.007200092904424582,-0.003908045977011554,0.000712673714217793,0.0007141399714345464,-0.005370694687682476,-0.0026020106445889812,0.022024907749077283,0.006449257726940605,0.06060606060606055,-0.01124385101897396,0.01753774680603959,-0.008869659275284048,-0.01819349315068497,0.024560691295018255
2021-07-14,-0.02445723253988996,0.004905701515316663,0.0035343494588027102,-0.004188837314615723,-0.003158264124458965,0.008192937918301446,0.0014243323442137967,0.005810989907228059,-0.0031693860781781824,-0.0016601446697498412,-0.017855128060476066,-0.04739451094184488,0.0,-0.005685856432125158,-0.012783928775254028,0.001309614754992916,0.012644429910616983,-0.015056745818356698
2021-07-15,-0.017294543504491333,0.0036884356693425158,0.0005502971604667284,-0.004206457480672943,-0.005397793945083218,-0.01934302392125442,0.0016593575915608838,0.0029393877964727366,-0.005887894488930789,0.0005938947618482349,-0.026422355610442594,0.014976519862926585,-0.03428571428571425,-0.008458422682868671,-0.015030639380275157,-0.002615803814713824,0.002260495156081843,-0.022959110370391667
